alpha_VSP1,alpha_VSP2,omega_VSP1,omega_VSP2,u_BT,u_VSP1,u_VSP2,Absolute Time
0.567509,0.000000,0.000000,0.000000,-0.000000,0.978121,0.000000,3568631515.108027
0.484053,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.118027
0.484053,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.128029
0.327909,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.138028
0.327909,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.148029
0.281006,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.158029
0.281006,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.168028
0.281006,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.178029
0.281006,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.188031
0.281006,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.198029
0.281006,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.208031
0.281006,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.218031
0.281006,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.228028
0.281006,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.238030
0.281006,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.248034
0.281006,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.258031
0.281006,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.268031
0.281006,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.278032
0.281006,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.288033
0.281006,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.298032
0.281006,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.308034
0.242543,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.318034
0.112894,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.328031
0.010284,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.338032
